runid,experimentid,tasks,sensors,samples,datagram,repeats,start_time,end_time,duration_seq_mean,duration_seq_sd,duration_seq_median,duration_seq_min,duration_seq_max,duration_coro_mean,duration_coro_sd,duration_coro_median,duration_coro_min,duration_coro_max,spike_power_seq_mean,spike_power_seq_sd,spike_power_seq_median,spike_power_seq_min,spike_power_seq_max,spike_power_coro_mean,spike_power_coro_sd,spike_power_coro_median,spike_power_coro_min,spike_power_coro_max,adjusted_power_statistics_seq_mean,adjusted_power_statistics_seq_sd,adjusted_power_statistics_seq_median,adjusted_power_statistics_seq_min,adjusted_power_statistics_seq_max,adjusted_power_statistics_coro_mean,adjusted_power_statistics_coro_sd,adjusted_power_statistics_coro_median,adjusted_power_statistics_coro_min,adjusted_power_statistics_coro_max,duration_deltas_mean,duration_deltas_sd,duration_deltas_median,duration_deltas_min,duration_deltas_max,spike_power_deltas_mean,spike_power_deltas_sd,spike_power_deltas_median,spike_power_deltas_min,spike_power_deltas_max,adjusted_power_deltas_mean,adjusted_power_deltas_sd,adjusted_power_deltas_median,adjusted_power_deltas_min,adjusted_power_deltas_max
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,369e00e5-94ed-4a75-8e57-1f80ececd0c5,2,40,50,1216,30,2023-09-10 18:20:33.760365,2023-09-10 18:21:03.020389,0.007163333333333333,0.0017358897615827496,0.006848,0.006804,0.016353,0.0065933,0.0004671531647226046,0.0065085,0.006449,0.009062,0.022008968655665716,0.0033144549604758244,0.021411404976010323,0.021226015486955643,0.03955089414405823,0.01974472340456645,0.0008099071215585717,0.01960829553961754,0.01941741010451317,0.023997983863592146,0.005582847486797968,0.00014186918612349133,0.005616942128539085,0.004882968557119369,0.0056936255741119384,0.00443836436577638,0.00048516414887545407,0.004573228149294853,0.0026516601967811583,0.004646433415174484,-0.06260907512390294,0.07259377148894552,-0.050515993116135555,-0.4458509142053445,-0.037624926513815424,-0.09465846413561228,0.05669276456785709,-0.08482362019809507,-0.3932378930250458,-0.07390522771025543,-0.20440069332589994,0.08952223450131534,-0.18527871188573042,-0.5272820220558312,-0.09993475706078275
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,dbffe431-3521-4a19-825e-dfcf1b707354,2,40,50,1280,30,2023-09-10 18:21:03.795585,2023-09-10 18:21:33.391266,0.007218133333333333,3.081393922520641e-05,0.007224,0.007163,0.00727,0.006877233333333333,4.408274612302549e-05,0.0068895,0.006795,0.006952,0.0225723260592858,0.00012180858401948922,0.022596853273272516,0.022270614053487778,0.022785415046930314,0.02069930553088188,0.00012166019525386228,0.020688206770420076,0.020484235899686815,0.02091975801348686,0.005737540552930037,0.0004891666226017799,0.005912393694877624,0.003827056202411652,0.006055365129709243,0.004714413309899966,0.0003953589224255073,0.0048069445770978925,0.0028410992559194563,0.004865596186637879,-0.04720880993911119,0.007692753096673584,-0.04679699951397304,-0.06114018176810795,-0.032947089208432236,-0.08294949868864634,0.007740330561125891,-0.08440810582514466,-0.09640099344509984,-0.06745413963112873,-0.1726554961362382,0.10621653384463507,-0.18622963830596156,-0.4087309789526708,0.26000247797929027
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,75fc4fb6-55c0-421f-b51c-44c66394aa29,2,40,50,1344,30,2023-09-10 18:21:34.280920,2023-09-10 18:22:04.004740,0.007558666666666667,2.997738611288389e-05,0.007555,0.007515,0.007629,0.007333633333333333,2.6334038983707032e-05,0.007334,0.007288,0.007418,0.0236337092376709,0.00011139802658414426,0.02363824821436405,0.023447283360004425,0.023873288808822633,0.022211811894027392,0.0004031173371673005,0.022145489374399183,0.021932918399333954,0.024276931040048598,0.0059832162540356315,0.000510771142000637,0.006162504587888718,0.004000015150547028,0.0062425723383426664,0.005111016313529015,0.00037866040771306764,0.005174693268060684,0.0031135654451847077,0.0052650287644863125,-0.02976152083010523,0.004185179332506036,-0.029776824732581916,-0.03801284572027793,-0.017873692572487714,-0.060172780169316806,0.01580938035315027,-0.062246778637017476,-0.07265911026151192,0.018235798461977575,-0.13738398966290843,0.11952863761593974,-0.1593093880201733,-0.4930593396061987,0.2996807244711327
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,685908fa-d683-4508-bca6-f83400c3e538,2,40,50,1408,30,2023-09-10 18:22:04.807152,2023-09-10 18:22:34.563003,0.007929933333333333,2.668324197504596e-05,0.007936499999999999,0.00788,0.007979,0.007632133333333333,2.7085730221081257e-05,0.007636,0.00758,0.007682,0.02481006373913288,9.7397313104058e-05,0.02482423365807533,0.024550101744413376,0.024986637376308442,0.022970675754817326,9.633719492969048e-05,0.022961516530156136,0.02276901542568207,0.02313141552042961,0.006457069954721133,0.00022685943506535092,0.006506321406126022,0.005264319909095764,0.006546079259872437,0.005207681717936198,0.00035086386174921266,0.005326812725305557,0.004081516881227493,0.005366276127099991,-0.037547335072919866,0.0037814740348381393,-0.03830890917893655,-0.043993445102735555,-0.02702016998604588,-0.0741276683148726,0.004815288878987747,-0.0740617590664912,-0.08216768504757212,-0.062006470792780495,-0.19218031292784976,0.0663558621042975,-0.18145206173456785,-0.3712071737201407,0.012437664139597241
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,0ef1bd41-6206-4321-91ff-f8ea4582cce1,2,40,50,1472,30,2023-09-10 18:22:35.341635,2023-09-10 18:23:05.115264,0.0082847,2.838546252500775e-05,0.008279,0.008232,0.008372,0.008028,3.0490247168788e-05,0.008027,0.007964,0.008093,0.02592951048359076,0.00011193195601475927,0.02593980325603485,0.025735086978912355,0.02620482305932045,0.024150904008841515,9.980934002635396e-05,0.024176847752928735,0.023923605276346207,0.02431510898566246,0.006579171725364526,0.0005393249769197142,0.006766517715454102,0.004572915510177612,0.006909549539208412,0.005515293566381931,0.00023034918263820713,0.005553947502553463,0.00430463044154644,0.005647181213498115,-0.03097639221998348,0.004411343907291884,-0.03175078477756928,-0.03953655040611559,-0.022012578616352186,-0.06857923857407583,0.0051923069925899745,-0.06942178331150835,-0.07751950675046067,-0.059106212686948795,-0.15464431740019693,0.09595505436764538,-0.17808672698280897,-0.362663181559908,0.21384546991368739
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,1da368e6-3ebd-453e-8cc4-a5f44ab478f3,2,40,50,1536,30,2023-09-10 18:23:05.955744,2023-09-10 18:23:35.884509,0.008647533333333334,1.753957757784349e-05,0.008647,0.008619,0.008704,0.008432666666666666,1.840414745860728e-05,0.008434,0.008395,0.008465,0.027098531476680437,6.95906288438946e-05,0.02711526005935669,0.026939325124025346,0.027208885751724244,0.025464483327539762,0.00045086930623437847,0.025389232732653616,0.025198497544765473,0.027815615076065062,0.00696412113537391,0.0003660164823996205,0.0070767760995626445,0.0058778437294960025,0.007222100368022919,0.005767719939295451,0.00043206781255951735,0.005838340815126896,0.003495806706905365,0.006088063319683075,-0.024843360440325504,0.002880300065875525,-0.024486025792625866,-0.030445772058823484,-0.019810009267840708,-0.06030275155506812,0.016277831796693638,-0.06413425733710226,-0.0677303042298849,0.02405857802676338,-0.16910015486703642,0.08114618738062189,-0.17631945926861767,-0.5044070899397995,-0.006653067335800733
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,51cd9513-5f96-407b-89e4-c0f8969e68dd,2,40,50,1600,30,2023-09-10 18:23:36.698413,2023-09-10 18:24:06.694341,0.0090063,2.636239484699678e-05,0.0090075,0.008942,0.009094,0.008740033333333333,3.6109491858773806e-05,0.0087415,0.008664,0.008832,0.02832269719968637,0.0005467766960305663,0.028242932114362716,0.027819667250156402,0.031162786736965178,0.026285010989761354,0.00011752074295739012,0.02630036767613888,0.026061501022100447,0.026580421497583388,0.007289031548722585,0.00032530433781998466,0.007364658139050007,0.006095019409537316,0.0076647065877914426,0.005847397971427441,0.0005305403739745321,0.006018706491112709,0.0036902192051410676,0.0060658924329280856,-0.029556404389757054,0.004930755328751028,-0.030452512166442843,-0.039586540576204005,-0.01666293893983447,-0.07164213858582379,0.01677230175924752,-0.0697204658325751,-0.15592701500315598,-0.053771672873170695,-0.19564778156264262,0.08712690378802247,-0.18281739237293632,-0.49925744745016637,-0.010185663197068052
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,9679641a-c7e2-4d43-b575-0ad61cc578c9,2,40,50,1664,30,2023-09-10 18:24:07.502942,2023-09-10 18:24:37.522575,0.0093861,2.340696919501872e-05,0.009383,0.009333,0.009418,0.009174966666666666,2.6959079250282044e-05,0.0091765,0.009124,0.009237,0.02941895600121816,0.00010454615566015958,0.02940641614472866,0.029186063719034195,0.02959429604768753,0.02763086775598526,0.00012345318828068402,0.027665184453248975,0.027387580520153047,0.027853002496719362,0.007625175139872233,0.00022673818025658118,0.007667983188509942,0.00643859105026722,0.0077429628014564515,0.006115359249810378,0.0006683185849955395,0.006363565243661403,0.0038588983886241914,0.0064165295753479,-0.02249166628936405,0.0027481527952727272,-0.02260010463922145,-0.02615351903040609,-0.014719999999999919,-0.060774498127634344,0.0041774759855560464,-0.06103052829042789,-0.06940301656856786,-0.05167225960834031,-0.19702281576679767,0.09365998785720901,-0.17101511600057806,-0.4954293491365289,-0.011308460985958358
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,39ace002-17eb-45b2-950c-8840b2a9c754,2,40,50,1728,30,2023-09-10 18:24:38.319281,2023-09-10 18:25:08.674499,0.009725433333333333,1.7864785884880888e-05,0.009726499999999999,0.009675,0.009755,0.009470266666666666,2.1180559292757548e-05,0.009467,0.009405,0.00951,0.030553305376704535,6.597739910459171e-05,0.03057013721704483,0.030388937008619308,0.030670663824081422,0.02850717178506851,6.60769646926551e-05,0.02852235072362423,0.028315740882873534,0.0285958552980423,0.007937653004566829,0.0002478595790001443,0.00797877079308033,0.006649984622240066,0.008133849077224732,0.006295022399202982,0.0005938899222685046,0.006510298740148544,0.004093130767583847,0.006571573441267013,-0.026236339320244485,0.0017246548171730254,-0.02635230359626329,-0.029611351017890197,-0.02251002158495225,-0.066966829933549,0.002323414373202929,-0.06706024437510134,-0.07247427356918047,-0.06040753119100499,-0.20615488382972139,0.07975316976849957,-0.18279265559832375,-0.47687234203713164,-0.038040775485217206
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,0774127e-8d20-4eee-bfc0-2fd9fdaf9f2b,2,40,50,1792,30,2023-09-10 18:25:09.450539,2023-09-10 18:25:39.585225,0.0101105,1.2748901237307766e-05,0.0101105,0.010079,0.010155,0.009882,1.7264673918648035e-05,0.009884,0.009837,0.009903,0.03169941740843455,7.764367645715325e-05,0.0317118316090107,0.031548561138153075,0.03184929178452492,0.029702246091548604,9.511277547002765e-05,0.029738260251998903,0.0294879874253273,0.029824652089357376,0.008253095186622938,5.336439615881433e-05,0.00825100947612524,0.008159902541995048,0.00845093892788887,0.006605211049664021,0.0005412057089077139,0.006764220998287201,0.0044934166920185085,0.006844809773445129,-0.022599406767763265,0.001771497924035568,-0.022150823009858697,-0.02700296735905034,-0.02001387099970267,-0.063000064166923,0.003196391006547843,-0.06249636399211121,-0.07207065320123177,-0.05663445880998377,-0.19958401452897515,0.06629557458128876,-0.18019943482976464,-0.45721956594789653,-0.16392579799831894
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,1052ed5a-ee60-4aa5-afb8-2723b1796814,2,40,50,1856,30,2023-09-10 18:25:40.375044,2023-09-10 18:26:10.674454,0.0104654,1.5386066244585028e-05,0.0104665,0.010437,0.010503,0.010271,1.9666179616022513e-05,0.010271,0.010235,0.010328,0.032859460835997265,6.507185600732729e-05,0.032861402181744576,0.03271714108300209,0.032996911791801455,0.030964474856805802,8.236988819048508e-05,0.03094111992788315,0.03081446826028824,0.03121268378663063,0.00848005258158048,0.00038663833060886257,0.008573744112730026,0.007037603775501251,0.008780075488567352,0.006918527818926176,0.0005004629166077698,0.007065647557854653,0.005199179983854294,0.00730025645494461,-0.01857504596986184,0.001538015884862252,-0.018712045212235923,-0.02114084372916865,-0.013468335084535177,-0.05766655375708563,0.002895992878571263,-0.05812795852708012,-0.062456796556825456,-0.050444958268391994,-0.18189052214246798,0.07723245867486642,-0.17571718935212605,-0.3936103989895573,0.012662631296971856
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,a50cdd57-2d12-495d-bf8d-9d11fb3c6d0e,2,40,50,1920,30,2023-09-10 18:26:11.548252,2023-09-10 18:26:42.005952,0.010816333333333334,2.0600189710096203e-05,0.0108255,0.010772,0.010855,0.010559333333333334,3.010823387590888e-05,0.010557500000000001,0.010512,0.010642,0.03394952269059022,7.799325283237243e-05,0.03396134144723415,0.03379740535807609,0.03408985019826889,0.03174065853362083,8.546900089705941e-05,0.03173783382594585,0.03157402644848824,0.03193849345374107,0.008829688316734632,5.461334284270949e-05,0.008838129032969474,0.008698577040433884,0.008977893288612366,0.007184892494718233,5.6823518681072825e-05,0.007193158296704292,0.0070189167516231535,0.007322539280653,-0.02375867640765147,0.00277392281566509,-0.024373165556888753,-0.02816511219872562,-0.01708691234875768,-0.06505963657193535,0.0029317342534565336,-0.06528709631271822,-0.07170541612900266,-0.058024769893696246,-0.18625225685387506,0.007937116265873165,-0.1845306174122846,-0.20356286674340693,-0.1691235140289492
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,3e985553-368a-4300-858a-a45756d4ca96,2,40,50,1984,30,2023-09-10 18:26:42.879121,2023-09-10 18:27:13.482816,0.011165566666666666,1.6718115991308587e-05,0.011157,0.011142,0.011207,0.011046833333333334,2.1066533900352742e-05,0.0110385,0.011015,0.011092,0.03506708717474937,7.364622856583475e-05,0.03506726256453991,0.03485817255163193,0.03523036824989319,0.033360420652659734,0.00010398138971413026,0.033386454996824265,0.0331368781645298,0.033514372532606126,0.009133258626230557,3.4532536271404197e-05,0.00913088906955719,0.009019098228216171,0.009200303478956222,0.0076770490747054415,5.9403350102768994e-05,0.007675022738695145,0.007498816468954087,0.007890509943962096,-0.010631689656327187,0.00241937102655264,-0.010619219835469762,-0.01519485162674294,-0.006007890961262651,-0.048665757491111135,0.003226613079249002,-0.04904056020366623,-0.057668034850195,-0.0439103258061619,-0.15942628922570673,0.0075335445927853465,-0.16009558830630352,-0.17923421073613352,-0.1340910380214264
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,10734ff6-7907-4750-8a0f-ca88800decee,2,40,50,2048,30,2023-09-10 18:27:14.304498,2023-09-10 18:27:44.935115,0.011532033333333334,4.3064092837932064e-05,0.011526,0.011496,0.01174,0.011357533333333333,2.325678741614029e-05,0.011349999999999999,0.011326,0.011401,0.03618560331895351,0.00016169156524689334,0.03616928213012219,0.035974632650375364,0.03689382311463356,0.03424119080785116,0.00012296117736188946,0.03422247427678109,0.03404252718305588,0.034496616344213485,0.009408271152242026,7.476302886687092e-05,0.009397516797900199,0.00927868134045601,0.00968551098203659,0.007831460421391328,5.539572458056959e-05,0.007818607795238495,0.007758839198350906,0.00801949441051483,-0.015118206473552928,0.004255774524155678,-0.014379413810873761,-0.0349233390119251,-0.010086956521739111,-0.05371744169398575,0.005188463807369498,-0.053888253612944664,-0.07265861163007269,-0.044510831204749454,-0.1675460313709866,0.009006704764748824,-0.16847936664581448,-0.19059437480653743,-0.14596671153475105
4623f85c-5650-4a0d-85a2-a2bd242bc7d1,df69fe8d-f173-475e-af4a-2d804b46eaf6,2,40,60,128,30,2023-09-10 18:27:45.697614,2023-09-10 18:28:13.284701,0.0009779333333333334,0.0004999897194345399,0.00081,0.000803,0.002483,0.0010390666666666667,0.00031854561015202585,0.000939,0.000931,0.00241,0.002702159129826228,0.0008608678243095988,0.002404114494681358,0.002373976863861084,0.005348411482453346,0.0029867288828293484,0.0006226731266315402,0.002786360540151596,0.0027525409541130064,0.0057064502863883974,0.0006414631518522899,2.134730670919738e-05,0.0006339679549932479,0.0006105888664722442,0.0007181601152420044,0.0007650320428768794,0.00018178211853508435,0.0007029303768873215,0.000676132029056549,0.0013556703132390976,0.12159117022563815,0.1346689564110222,0.15910586817465464,-0.4333333333333333,0.27261462205700115,0.13175718619308932,0.10563012215629032,0.15617658206622093,-0.31624932010074047,0.2670307675911205,0.19375597452770554,0.28726411803514723,0.09747043256882211,0.04854056034537465,1.177447383086837
