0	1	1701741716649334
0	0	1701741716650436
1	1	1701741716651692
1	0	1701741716652543
0	1	1701741716653841
0	0	1701741716654602
0	0	1701741753817222
1	0	1701741753817705
0	1	1701741753908918
0	0	1701741753974872
1	1	1701741753978061
1	0	1701741753979661
0	1	1701741753981939
0	0	1701741753982762
0	1	1701741754036850
0	0	1701741754038131
1	1	1701741754039555
1	0	1701741754040506
0	1	1701741754042437
0	0	1701741754043353
0	1	1701741754095360
0	0	1701741754096607
1	1	1701741754097988
1	0	1701741754099084
0	1	1701741754101033
0	0	1701741754101902
0	1	1701741754153476
0	0	1701741754154661
1	1	1701741754156147
1	0	1701741754157165
0	1	1701741754159018
0	0	1701741754159857
0	1	1701741754211485
0	0	1701741754212721
1	1	1701741754214442
1	0	1701741754215512
0	1	1701741754217458
0	0	1701741754218214
0	1	1701741754271119
0	0	1701741754272320
1	1	1701741754273648
1	0	1701741754274706
0	1	1701741754276009
0	0	1701741754277081
0	1	1701741754333567
0	0	1701741754334629
1	1	1701741754335840
1	0	1701741754336730
0	1	1701741754338362
0	0	1701741754339150
0	1	1701741754391511
0	0	1701741754392775
1	1	1701741754394807
1	0	1701741754395692
0	1	1701741754397862
0	0	1701741754398655
0	1	1701741754450167
0	0	1701741754451374
1	1	1701741754452697
1	0	1701741754453831
0	1	1701741754455558
0	0	1701741754456406
0	1	1701741754508247
0	0	1701741754509477
1	1	1701741754510802
1	0	1701741754511831
0	1	1701741754513764
0	0	1701741754514683
0	1	1701741754566794
0	0	1701741754568827
1	1	1701741754571671
1	0	1701741754572596
0	1	1701741754573973
0	0	1701741754574827
0	1	1701741754626370
0	0	1701741754627640
1	1	1701741754629149
1	0	1701741754630068
0	1	1701741754631601
0	0	1701741754632530
0	1	1701741754684010
0	0	1701741754685283
1	1	1701741754686666
1	0	1701741754687676
0	1	1701741754689011
0	0	1701741754690002
0	1	1701741754740752
0	0	1701741754741967
1	1	1701741754743288
1	0	1701741754744227
0	1	1701741754745823
0	0	1701741754746774
0	1	1701741754798921
0	0	1701741754800056
1	1	1701741754801438
1	0	1701741754802461
0	1	1701741754804154
0	0	1701741754804987
0	1	1701741754856911
0	0	1701741754858184
1	1	1701741754859786
1	0	1701741754860984
0	1	1701741754862791
0	0	1701741754863532
0	1	1701741754917914
0	0	1701741754919040
1	1	1701741754920586
1	0	1701741754921903
0	1	1701741754924336
0	0	1701741754925136
0	1	1701741754977468
0	0	1701741754978935
1	1	1701741754980484
1	0	1701741754981697
0	1	1701741754983249
0	0	1701741754984163
0	1	1701741755036076
0	0	1701741755037361
1	1	1701741755038835
1	0	1701741755039879
0	1	1701741755041558
0	0	1701741755042467
0	1	1701741755094291
0	0	1701741755095541
1	1	1701741755096919
1	0	1701741755097828
0	1	1701741755099739
0	0	1701741755100565
0	1	1701741755152861
0	0	1701741755154044
1	1	1701741755155314
1	0	1701741755156372
0	1	1701741755157842
0	0	1701741755158810
0	1	1701741755211087
0	0	1701741755212301
1	1	1701741755213616
1	0	1701741755214510
0	1	1701741755216329
0	0	1701741755217175
0	1	1701741755271631
0	0	1701741755272798
1	1	1701741755274154
1	0	1701741755275191
0	1	1701741755276675
0	0	1701741755277497
0	1	1701741755329239
0	0	1701741755330455
1	1	1701741755331743
1	0	1701741755332889
0	1	1701741755334734
0	0	1701741755335754
0	1	1701741755389526
0	0	1701741755390520
1	1	1701741755391713
1	0	1701741755392613
0	1	1701741755394248
